Rank,Author Name,Fitness Score,Author ID
1,Ferdinando Fioretto,0.6132,27
2,Valerio Basile,0.5795,92
3,Sriraam Natarajan,0.5401,81
4,Ulises Cortés,0.5318,89
5,Lars Kotthoff,0.5315,45
6,Ivor Tsang,0.5260,37
7,Tias Guns,0.5223,86
8,Scott Sanner,0.5187,79
9,Michela Milano,0.5171,57
10,Akshat Kumar,0.5107,0
11,Fei Liu,0.5064,26
12,Maria Perez-Ortiz,0.5060,51
13,Tongliang Liu,0.5047,88
14,Eleonora Giunchiglia,0.5000,22
15,Chang-Dong Wang,0.4990,14
16,Marija Slavkovik,0.4909,52
17,Yair Zick,0.4874,97
18,Matteo Zavatteri,0.4857,54
19,Roberta Calegari,0.4855,73
20,Xuanjing Huang,0.4828,96
21,Siddharth Srivastava,0.4801,80
22,Andrea Aler Tubella,0.4800,7
23,Sanmay Das,0.4786,77
24,Frans Oliehoek,0.4708,28
25,Bo Li,0.4649,12
26,Kai-Wei Chang,0.4647,42
27,Ofra Amir,0.4594,63
28,Hadi Hosseini,0.4559,33
29,Alessandro Abate,0.4509,1
30,Stefan Schlobach,0.4507,82
31,Matthijs Spaan,0.4500,55
32,Rafael Penaloza,0.4439,69
33,Quanquan Gu,0.4438,68
34,Julia Hockenmaier,0.4437,41
35,Fabrizio Riguzzi,0.4405,25
36,Martin Gebser,0.4403,53
37,Julia Handl,0.4400,40
38,Nisarg Shah,0.4390,62
39,Umberto Grandi,0.4390,90
40,Pablo Samuel Castro,0.4328,64
41,Roie Zivan,0.4308,74
42,Davide Grossi,0.4307,19
43,Kuldeep Meel,0.4236,44
44,Stefan Szeider,0.4221,83
45,Toby Walsh,0.4148,87
46,Renate Schmidt,0.4091,71
47,Paolo Turrini,0.4036,65
48,Ana Paiva,0.4031,6
49,Alessandro Farinelli,0.4018,3
50,Sven Koenig,0.4000,84
51,Bettina Konighofer,0.3974,10
52,Virginia Dignum,0.3947,93
53,Roni Stern,0.3936,75
54,Erez Karpas,0.3935,24
55,Hwee Tou Ng,0.3910,35
56,Alex Fukunaga,0.3856,5
57,Laurent Simon,0.3847,47
58,Jianwen Xie,0.3841,39
59,Margret Keuper,0.3829,50
60,Christian Bessiere,0.3825,16
61,Eneko Agirre,0.3816,23
62,Saif Mohammad,0.3726,76
63,Viviana Mascardi,0.3669,94
64,Alessandro Moschitti,0.3658,4
65,Luca Pasa,0.3636,48
66,Nick Hawes,0.3608,61
67,Bo Han,0.3590,11
68,Haris Aziz,0.3570,34
69,Alessandro Artale,0.3523,2
70,Sasha Rubin,0.3503,78
71,Ariel Felner,0.3501,8
72,Reshef Meir,0.3496,72
73,Marek Petrik,0.3496,49
74,Chao Ma,0.3476,15
75,Nathan Sturtevant,0.3469,60
76,Vadim Indelman,0.3465,91
77,Laura Giordano,0.3447,46
78,Gilles Pesant,0.3438,31
79,Ivan Varzinczak,0.3333,36
80,Chu-Min Li,0.3308,17
81,Giuseppe Lisanti,0.3273,32
82,Desmond Elliott,0.3244,20
83,Daniel Harabor,0.3128,18
84,Myrthe Tielman,0.3113,59
85,Jakob Nordström,0.3094,38
86,Piotr Skowron,0.3092,67
87,Patrik Haslum,0.3010,66
88,Atlas Wang,0.2955,9
89,Friedrich Fraundorfer,0.2779,29
90,Ken Brown,0.2495,43
91,Chang Xu,0.2435,13
92,Eleanor Rieffel,0.2010,21
93,Wendy Mackay,0.1994,95
94,Mikko Koivisto,0.1988,58
95,Renata Wassermann,0.1714,70
96,Gabriele Röger,0.1348,30
97,Meng Fang,0.1015,56
98,Thomas Meyer,0.0821,85
